id,firstName,lastName,birthDate,bookCount
392,"NMDL","HXHH",1982-11-02,2
306,"SCNK","VEPC",1982-06-25,4
881,"YBAT","ZTNH",1961-05-12,0
709,"UGAH","KLNQ",1985-11-12,3
678,"TWXJ","CMQB",1951-07-31,1
959,"GPWR","SESP",1953-06-02,0
165,"WRKW","TIYU",1971-01-05,4
807,"XFMV","YOJN",1992-11-16,3
284,"RVNF","WBNI",1959-05-07,5
264,"QDKS","KBEY",1978-08-09,4
721,"NBRQ","YAHT",1984-12-17,1
960,"IZCA","UZUL",1985-11-17,2
534,"CJDF","XPJP",1985-03-11,5
869,"SOYM","KNRC",1955-05-06,0
350,"FWRU","UVAQ",1965-06-08,1
893,"IHEF","DVOY",1990-01-08,3
142,"WCBL","AMFH",1986-11-08,3
126,"BMNZ","TTBM",1955-07-18,4
230,"POCZ","CHOW",1992-06-26,2
910,"WKAU","QADV",1965-05-23,4
117,"FWOO","ASCO",1972-06-14,2
851,"IRLP","KHQO",1984-04-13,4
764,"FDEL","RELI",1967-05-14,0
694,"SNTW","MDCE",1954-09-13,2
315,"JWTT","PLUO",1971-12-15,3
89,"JLNL","EOVJ",1963-07-11,5
709,"SAWL","WRIF",1974-08-24,3
506,"YSUS","IPJV",1985-08-15,0
698,"LHXO","LOZO",1979-04-24,5
611,"OSGN","GCZH",1965-06-14,5
125,"KAKK","FZMP",1977-11-23,1
872,"GTRT","TZLV",1956-03-30,2
291,"PXQQ","FANE",1954-02-07,0
762,"IXCA","PZZO",1982-08-27,1
170,"LVGL","RDFQ",1973-01-22,3
258,"NUDG","VUPY",1989-10-17,0
944,"FZKH","ALFT",1969-08-19,2
538,"SFUJ","OMUY",1965-09-19,0
20,"ATGE","MZBI",1990-04-19,4
122,"LWFJ","ZSYY",1955-05-01,0
113,"AUKD","FARI",1988-02-08,4
360,"TJYM","VPHP",1980-10-23,1
961,"RXVU","FKVD",1975-04-28,5
40,"THRV","QWOT",1987-01-21,0
689,"NRSY","NZKC",1973-11-18,3
949,"KVOL","SHKS",1981-10-30,3
21,"ZSTI","WKNZ",1982-06-15,3
241,"VLBI","SCYE",1953-09-27,3
809,"DTAJ","JFMA",1966-10-14,2
729,"FZNH","PQGZ",1961-01-31,0
275,"TKYU","MAGL",1959-09-30,3
590,"QYWL","EWAD",1969-09-07,2
235,"QRFU","BLPE",1955-06-18,2
197,"PQXE","RWPZ",1971-03-10,5
819,"KPEF","EEIW",1964-01-26,1
905,"QZWY","EYIG",1993-10-22,2
456,"WTBU","IDZN",1990-09-06,1
843,"EWBZ","LIXA",1957-07-24,2
737,"JSRG","DEKF",1990-08-27,3
550,"DIKS","SWNO",1956-04-25,2
37,"YDBZ","VYYJ",1956-11-23,3
114,"GSFK","HMKC",1973-11-08,3
641,"IMMT","CODA",1968-12-05,3
93,"WPME","KWIQ",1991-08-10,0
835,"DNWW","ECXE",1974-04-23,1
960,"YPLT","ZKMT",1956-01-31,0
887,"XXYI","CRVT",1990-02-03,4
122,"IFAO","OALI",1975-12-01,4
800,"BJCM","ZIHA",1980-05-31,0
359,"FUDN","QRDY",1950-08-11,5
796,"LRKJ","PARY",1983-09-24,1
88,"BSWD","TEPA",1982-03-06,5
612,"DQDA","CIPD",1995-01-26,5
759,"GZIW","WXNF",1980-03-27,5
346,"GWHE","HPAE",1962-06-22,0
70,"ONAF","SXES",1971-07-26,0
707,"LMFQ","RSPL",1974-09-03,2
270,"IKGP","HQOK",1994-11-01,5
792,"PQDY","QWMJ",1991-10-27,1
858,"CWDK","HATN",1993-06-06,0
907,"LAZW","XWVJ",1963-11-28,3
724,"PRSG","UMAI",1983-04-22,5
435,"VEFC","YDFF",1973-12-18,2
672,"NESY","QPXC",1975-09-26,0
670,"LXJJ","OUCS",1985-07-21,3
307,"LNFY","ELUL",1963-10-04,5
457,"VBPF","IOAF",1978-03-21,0
979,"FMNT","JKXN",1992-05-25,4
313,"JQJP","GVYU",1990-08-13,5
753,"NBHO","CWOC",1950-01-30,2
227,"PCFB","PIRZ",1965-07-15,2
384,"QTVB","HFJV",1961-05-11,4
276,"CCGU","QKQY",1974-11-30,0
834,"NFKI","QPER",1969-07-27,4
568,"DUCT","RWNY",1966-07-09,5
512,"PVUC","HYQG",1952-09-04,3
283,"ELDL","LVAS",1951-01-28,3
44,"SOUX","BKGQ",1991-06-13,0
969,"ZKRS","HIIK",1993-05-03,1
385,"MSXL","STIU",1979-03-31,1
