id,firstName,lastName,birthDate,bookCount
30,"WFML","RHDM",1950-02-02,0
339,"XCXM","CJKH",1950-07-24,0
80,"RVZK","LHDX",1951-06-22,2
697,"LSBX","GECA",1953-04-03,0
121,"FITC","IQCM",1953-12-22,2
551,"UEGQ","IHEA",1954-04-19,2
505,"ZEYO","VIWY",1954-04-25,3
5,"WRFN","DOUN",1954-12-30,1
319,"EUIZ","XYUV",1956-03-03,0
842,"NGAM","BWVX",1956-05-08,4
943,"ODDW","JRVW",1957-10-15,4
7,"EBXZ","EFVU",1958-01-14,5
513,"HESY","UJQM",1958-05-16,5
640,"JHKK","EYIC",1958-08-31,0
348,"MSEF","QTDC",1958-11-19,0
683,"MVGZ","RCKS",1959-12-20,2
114,"KBOD","NLFC",1960-10-15,4
150,"SMXT","FAWW",1960-11-30,2
674,"YSGH","RLJH",1960-12-27,1
865,"RDVC","GLWP",1961-01-17,4
900,"GZES","HNFL",1961-04-12,0
993,"DRKA","AJEB",1961-08-19,2
861,"HYRL","YABL",1961-10-29,4
775,"QSOR","FRCB",1961-11-10,2
207,"HWXJ","FPKC",1962-06-24,1
624,"ZNDG","YAKK",1962-11-02,3
64,"PAFF","JUKB",1963-03-26,4
601,"GVMY","YGII",1963-05-10,5
943,"RDTW","XDCX",1963-11-30,3
895,"RLTT","HUMF",1965-05-06,0
899,"EBLG","IKIV",1967-06-13,2
547,"JMJC","WIUI",1967-07-21,0
756,"ODPV","SMYG",1967-07-25,5
838,"ABRL","URIR",1967-12-25,0
462,"RYAY","AAWY",1968-08-15,0
855,"VIZW","YPVC",1969-03-22,3
106,"HOKU","ZMOB",1971-05-08,2
365,"YPCT","CJAT",1971-05-13,2
89,"HQKG","BHXX",1971-06-02,2
579,"MXXI","BBJQ",1971-06-09,3
578,"EWLM","RZRB",1972-01-29,0
636,"NULJ","XEYW",1972-10-11,2
721,"XINJ","GLNY",1972-10-28,4
988,"EJOE","KTEA",1972-11-02,3
523,"FLHI","TUIZ",1973-06-07,2
503,"GWZF","CYPQ",1974-04-12,4
299,"NGVZ","EQIE",1974-04-15,1
637,"BYNT","SGHB",1974-07-11,5
387,"OEIN","TNJG",1974-10-13,1
488,"FQAU","ADGA",1975-01-16,1
731,"SVMQ","ZIQB",1976-05-19,0
187,"JGLN","HTOU",1976-07-03,1
219,"WKQT","IBDE",1977-01-11,4
251,"HOJH","NRVP",1978-01-21,4
946,"OKYM","DJYM",1978-07-22,2
769,"KUPQ","GMSG",1978-09-20,5
724,"AUCW","KRWH",1978-11-04,0
383,"STWK","ASGN",1978-11-19,1
769,"TZXR","URXC",1978-12-04,2
296,"TQWP","HQNM",1978-12-13,3
607,"CNRE","USTC",1979-01-11,1
7,"PVBY","EKYO",1979-03-12,0
600,"MRUN","HTVT",1980-09-15,1
123,"YIBB","POVN",1981-03-08,2
581,"QDPR","INZT",1981-07-13,4
179,"SHXP","XZQH",1981-09-18,5
819,"HMUO","MLRG",1981-11-10,3
541,"SKVS","CZPJ",1983-01-21,3
699,"BIDM","DAYO",1984-10-06,3
217,"MYVV","XLOK",1984-10-15,5
310,"CPAC","SUXL",1986-03-03,4
374,"EPAE","XOXE",1986-05-09,3
311,"XCLV","BBXR",1986-05-26,1
50,"QNGH","MLCI",1986-11-25,4
438,"QPFT","CGSD",1986-12-02,4
985,"MZYP","YIMB",1987-10-17,1
939,"YLPV","JAOK",1987-12-20,1
666,"LRBG","TSYY",1988-02-27,5
671,"LZQB","AZIV",1988-03-21,5
93,"XMIY","EGKI",1988-04-01,2
480,"IAMP","FNJS",1988-06-01,4
948,"ZKSS","GISB",1989-01-13,4
129,"KKWS","AAWY",1989-04-12,4
798,"BBKS","UFTI",1989-04-24,5
423,"TOEI","YLHA",1989-09-29,4
282,"PMIU","UKJQ",1990-01-20,4
938,"GFLQ","ZHVT",1990-02-07,4
350,"QRHU","JIHT",1991-09-19,4
931,"MFAD","TQOY",1991-11-26,0
415,"UZUH","XDUY",1992-05-19,3
305,"IQNZ","YLFD",1992-08-29,3
438,"ZLPI","GXYK",1992-09-03,1
455,"JFIH","MZLN",1993-03-23,0
510,"CXNI","KWXK",1993-07-03,2
962,"TOTO","NNCU",1993-09-02,2
22,"QSNB","FSXC",1993-09-14,4
418,"ABOU","CQRN",1994-03-28,2
479,"VTNO","YCDW",1994-05-25,3
723,"QCHK","PCEP",1995-01-03,3
64,"XOVJ","JAFQ",1995-05-03,4
